"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.52410462057456
2,-2.86288238947756
4,-3.30168191985185
6,-3.83622276541435
8,-4.45124625069934
10,-5.11023514464589
12,-5.74031904597846
14,-6.22010272409779
16,-6.39608200748563
18,-6.15401241918752
20,-5.50133513367889
22,-4.56020398413646
24,-3.4807344080607
26,-2.37615213628654
28,-1.31181786507703
30,-0.318730287778787
32,0.59181453642628
34,1.41857060145611
36,2.16498349729654
38,2.83643706757518
40,3.4389027417482
42,3.97830734360672
44,4.46025976369113
46,4.88995313860018
48,5.272150132476
50,5.61120506073205
52,5.91109993159012
54,6.17548329429846
56,6.4077067629282
58,6.61085709545767
60,6.7877832001559
62,6.94111815615786
64,7.07329665424863
66,7.18656838487203
68,7.28300792562071
70,7.36452166253132
72,7.43285224475809
74,7.48958103313477
76,7.53612896495918
78,7.57375622147091
80,7.60356105050809
82,7.62647806350146
84,7.64327629188969
86,7.65455725198646
88,7.66075322843148
90,7.6621259442187
92,7.65876574000815
94,7.65059133753841
96,7.63735021237406
98,7.61861955108897
100,7.59380771852845
102,7.56215611315652
104,7.52274124359356
106,7.47447681784163
108,7.41611559849144
110,7.34625074203711
112,7.2633163074715
114,7.16558658741893
116,7.05117388285992
118,6.91802430888914
120,6.76391118361032
122,6.58642551675926
124,6.38296308426752
126,6.15070756224568
128,5.886609224885
130,5.58735883724259
132,5.24935669583543
134,4.86867747954187
136,4.44103303968144
138,3.96173819468238
140,3.42569039101578
142,2.82738547746881
144,2.1610142067543
146,1.42072806530993
148,0.601249250862987
150,-0.300834207407164
152,-1.2844425834142
154,-2.33891645712446
156,-3.43486876917594
158,-4.51021628748596
160,-5.45680010980447
162,-6.12889686329645
164,-6.40254590640756
166,-6.26072204484029
168,-5.80794302286817
170,-5.1943877755665
172,-4.54305660787037
174,-3.92966140865907
176,-3.39301828099011
178,-2.94986859126147
180,-2.60535781215372
