"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-4.0520520707915
2,-4.65842253568504
4,-5.36197959681138
6,-6.13304638965804
8,-6.90082748452692
10,-7.52953830177196
12,-7.82321964599259
14,-7.61499852558769
16,-6.90067032977485
18,-5.84191187268925
20,-4.63418471855374
22,-3.41422442776711
24,-2.25319625973084
26,-1.18036072907923
28,-0.203435395553738
30,0.67967414429672
32,1.47502291344827
34,2.18990284952516
36,2.83164274533338
38,3.40712303161356
40,3.92261749530886
42,4.38377914731816
44,4.79568486802701
46,5.16289948479282
48,5.489541696468
50,5.77934453049684
52,6.0357078118248
54,6.26174229384551
56,6.46030601848271
58,6.6340337974693
60,6.78536076189701
62,6.91654086829604
64,7.02966115145005
66,7.12665241116423
68,7.20929692672094
70,7.27923371352969
72,7.33796177165944
74,7.3868417236393
76,7.42709619645604
78,7.45980926725171
80,7.4859252611916
82,7.50624716103315
84,7.52143485920731
86,7.53200345332908
88,7.53832175407891
90,7.54061113992517
92,7.5389448562253
94,7.53324781727366
96,7.52329692958186
98,7.50872191399323
100,7.48900656411748
102,7.46349033992354
104,7.43137015884757
106,7.3917022128536
108,7.34340360852111
110,7.28525359797035
112,7.21589414032613
114,7.13382950502307
116,7.03742459765504
118,6.92490165391841
120,6.794334904794
122,6.64364276355525
124,6.47057701968254
126,6.27270844420447
128,6.04740811519836
130,5.79182366535816
132,5.50284954918437
134,5.17709035817936
136,4.81081625026848
138,4.39990985578461
140,3.9398048900273
142,3.42541878813417
144,2.8510863216473
146,2.21051115910082
148,1.49677361383517
150,0.702477992773062
152,-0.179781093256473
154,-1.15625120780734
156,-2.22935230794176
158,-3.39190433907573
160,-4.61546820315158
162,-5.82987832728784
164,-6.89882931957773
166,-7.62503510315993
168,-7.84218931898485
170,-7.55082643499304
172,-6.91856514918238
174,-6.14434930233533
176,-5.36622336885756
178,-4.65600501371439
180,-4.04366887037314
